Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Full_Bridge_Converter\Project Outputs for Full_Bridge_Converter\Full_Bridge_Converter\Pick Place\Pick Place for Full_Bridge_Converter.txt

========================================================================================================================
File Design Information:

Date:       02/03/21
Time:       01:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                           
TP12       5011                   TopLayer    Keystone5011                                4780.000      760.000       180      "Test Point, Multipurpose, Black, TH"                                                                                 
TP11       5011                   TopLayer    Keystone5011                                5180.000      800.000       180      "Test Point, Multipurpose, Black, TH"                                                                                 
TP8        5010                   TopLayer    Keystone5010                                3700.000      980.000       180      "Test Point, Multipurpose, Red, TH"                                                                                   
TP7        5010                   TopLayer    Keystone5010                                3940.000      1180.000      180      "Test Point, Multipurpose, Red, TH"                                                                                   
TP6        5010                   TopLayer    Keystone5010                                6440.000      3480.000      180      "Test Point, Multipurpose, Red, TH"                                                                                   
TP5        5010                   TopLayer    Keystone5010                                6420.000      1840.000      180      "Test Point, Multipurpose, Red, TH"                                                                                   
TP2        5010                   TopLayer    Keystone5010                                2600.000      1750.000      180      "Test Point, Multipurpose, Red, TH"                                                                                   
TP1        5010                   TopLayer    Keystone5010                                2420.000      2845.000      180      "Test Point, Multipurpose, Red, TH"                                                                                   
LOGO2      "CAUTION HOT SURFACE"  TopLayer    IEC_HotSurface_Medium                       -1900.000     -3125.000     360      "IEC 61010-1 Hot Surface Warning"                                                                                     
LOGO1      "DANGER HIGH VOLTAGE"  TopLayer    IEC_HighVoltage_Medium                      -1900.000     -3125.000     360      "IEC 61010-1 High Voltage Warning"                                                                                    
H16        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           8650.000      275.000       180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H15        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           8650.000      4475.000      180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H14        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           5780.000      275.000       180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H13        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           200.000       275.000       180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H12        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           200.000       4475.000      180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H11        "MPMS 003 0005 PH"     TopLayer    BuildingFastener_MPMS_003_0005_PH           5780.000      4465.000      180      "MACHINE SCREW PAN PHILLIPS M3 5mm"                                                                                   
H10        24438                  BottomLayer Keystone24438                               5780.000      275.000       0        "Standoff, Hex,25mm Length, M3, Aluminum"                                                                             
H9         24438                  BottomLayer Keystone24438                               200.000       275.000       0        "Standoff, Hex,25mm Length, M3, Aluminum"                                                                             
H8         24438                  BottomLayer Keystone24438                               200.000       4475.000      0        "Standoff, Hex,25mm Length, M3, Aluminum"                                                                             
